property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket
93136,-38.00281143,145.09909059999998,3 Arwon Street,MORDIALLOC,6570000,house,2009,4,3,2,SC_003,3.635,19863,1.087,55,0,hospital_001,2.673,S_119,1.235
10785,-37.78614426,144.9247894,66 Marshall Street,FLEMINGTON,10285000,house,2009,3,1,0,SC_011,0.869,20040,0.391,15,0,hospital_114,1.062,S_086,0.295
3299,-37.814208,144.889616,3 Avoca Street,YARRAVILLE,8330000,house,2015,3,1,2,SC_043,3.368,19996,0.185,15,0,hospital_056,2.365,S_201,1.67
23777,-37.65173721,144.90332030000002,7 Muirhead court,GREENVALE,7725000,house,2008,4,2,2,SC_072,1.669,44817,2.254,40,0,hospital_104,1.511,S_211,2.306
82974,-37.885580100000006,145.2453293,1/8 Philip Road,KNOXFIELD,16150000,house,2013,3,2,2,SC_049,5.613,19868,4.407,54,0,hospital_002,3.907,S_027,1.858
51869,-37.79155,145.21577299999998,273-275 Oban Road,DONVALE,13780000,house,2015,4,2,2,SC_032,2.624,19902,2.947,41,0,hospital_070,2.806,S_040,2.542
13043,-37.709723,144.776415,37 Tudor Rose Crescent,SYDENHAM,5334000,house,2010,4,2,2,SC_107,3.357,20000,0.977,39,0,hospital_057,6.571,S_094,0.826
19120,-37.67303848,144.944046,66 Geach Street,DALLAS,5340000,house,2009,3,2,1,SC_072,3.139,19960,0.81,39,0,hospital_104,3.244,S_153,2.052
89613,-37.95425797,145.0137329,6 Heath Street,SANDRINGHAM,19240000,house,2008,4,3,2,SC_079,2.467,19948,0.916,28,0,hospital_058,0.924,S_214,1.23
23244,-37.749685,144.97011,9 Coburg Street,COBURG,6030000,house,2014,3,1,2,SC_030,2.607,19966,0.904,26,0,hospital_144,0.771,S_173,0.864
53641,-37.825726,145.011625,68 Bendigo Street,RICHMOND,6200000,house,2010,2,1,0,SC_038,1.679,19906,0.412,16,0,hospital_122,0.948,S_102,1.655
40898,-37.70218,145.058483,594 Morwell Avenue,BUNDOORA,3942000,house,2014,3,1,2,SC_047,4.748,19984,2.434,37,0,hospital_037,0.115,S_155,0.502
22734,-37.738055200000005,144.97099369999998,4 Basalt Lane,COBURG,9100000,house,2014,4,2,2,SC_030,1.942,19965,0.826,28,0,hospital_144,2.052,S_172,0.647
58364,-37.81725311,145.1492615,83 Whitehorse Road,BLACKBURN,5830000,house,2009,2,1,1,SC_002,1.967,19898,0.321,31,0,hospital_060,1.848,S_018,1.586
77821,-37.923515,145.187053,27 Lansdowne Circuit,MULGRAVE,10370000,house,2011,4,2,2,SC_073,1.923,19913,4.132,44,0,hospital_161,2.839,S_067,1.396
32035,-37.73688126,145.0172119,17 Dean Street,PRESTON,5445000,house,2007,2,1,0,SC_047,1.169,20012,1.483,26,0,hospital_139,2.732,S_084,1.266
68438,-37.851851,145.015353,2a Beatty Avenue,ARMADALE,12150000,house,2016,3,1,2,SC_038,1.402,19946,0.175,22,0,hospital_132,0.622,S_115,0.983
68464,-37.858484999999995,145.019731,3/55 Kooyong Road,ARMADALE,13640000,house,2015,3,2,2,SC_038,2.235,19945,0.229,23,0,hospital_092,0.957,S_013,0.828
27629,-37.581877,144.93077399999999,7 Poole Street,CRAIGIEBURN,4719000,house,2011,3,2,2,SC_005,1.221,40221,2.48,46,0,hospital_104,7.715,S_178,1.379
55592,-37.841232,145.06264299999998,38 Bowen Street,CAMBERWELL,32240000,house,2011,4,2,3,SC_099,1.923,19851,0.911,29,0,hospital_168,0.858,S_160,1.01
61838,-37.82334518,145.2246246,34 Maidstone Street,RINGWOOD,9295000,house,2009,2,1,1,SC_032,1.235,19902,0.914,41,0,hospital_105,2.116,S_040,1.319
81692,-37.989289,145.246727,11 Sheoak Street,DOVETON,3900000,house,2012,3,1,2,SC_077,1.775,19888,3.247,54,0,hospital_119,2.479,S_195,1.617
85031,-37.877849,144.981539,58 Ruskin Street,ELWOOD,5863000,house,2013,3,1,1,SC_015,1.022,19955,1.223,15,0,hospital_009,2.095,S_017,1.071
90322,-37.962307,145.046719,22 Olympic Avenue,CHELTENHAM,18530000,house,2015,3,2,1,SC_079,1.548,19866,0.841,47,0,hospital_082,0.908,S_023,0.859
18817,-37.671795,144.92245400000002,4 Lilliput Street,BROADMEADOWS,4030000,house,2010,3,1,2,SC_072,2.342,44817,1.243,40,0,hospital_104,2.355,S_153,0.704
44005,-37.70441055,145.0954437,1/185 Grimshaw Street,GREENSBOROUGH,10170000,house,2009,2,1,1,SC_062,5.935,19985,1.129,41,0,hospital_075,0.921,S_020,0.408
21859,-37.736473,144.966976,11A Champ Street,COBURG,7980000,house,2013,3,2,1,SC_030,1.551,19964,0.49,30,0,hospital_084,2.102,S_172,0.598
82187,-37.995686,145.235495,40 Kanooka Grove,DOVETON,3540000,house,2016,3,1,0,SC_077,1.543,19888,2.349,54,0,hospital_119,1.867,S_184,1.917
38653,-37.7703234,145.0434321,16 John Street,IVANHOE,9200000,house,2011,3,2,0,SC_001,0.305,19933,0.237,25,0,hospital_039,1.356,S_219,0.276
32200,-37.746393,144.98408999999998,2 Mount Pleasant Road,PRESTON,6480000,house,2013,3,1,2,SC_103,1.745,20013,1.417,24,0,hospital_144,1.559,S_173,1.632
45891,-37.714866,145.11745,18 Station. Road,MONTMORENCY,7160000,house,2015,3,2,2,SC_051,5.908,19986,0.361,40,0,hospital_075,1.488,S_210,1.852
13177,-37.706309000000005,144.763384,46 Orchid Square,SYDENHAM,6860000,house,2012,4,2,2,SC_048,3.537,20000,1.112,39,0,hospital_057,7.525,S_094,1.216
78083,-37.934065000000004,145.173115,44 Denver Crescent,MULGRAVE,7650000,house,2015,4,2,2,SC_073,3.294,19913,2.436,44,0,hospital_161,3.548,S_067,1.367
75504,-37.896383,145.054871,87A Morgan Street,CARNEGIE,13072000,house,2008,3,2,1,SC_041,1.337,19920,1.175,28,0,hospital_159,3.06,S_015,0.978
41137,-37.695752,145.061744,8 Alfred Court,BUNDOORA,5880000,house,2011,3,1,0,SC_062,5.334,19984,2.576,37,0,hospital_041,0.488,S_155,0.689
9624,-37.854048,144.72575700000002,7 Ali Court,TRUGANINA,3900000,house,2015,3,2,1,SC_053,1.914,46468,2.595,32,0,hospital_073,4.812,S_007,2.12
95182,-37.899345000000004,145.035993,216 Booran Road,ORMOND,9425000,house,2011,2,1,2,SC_041,2.57,19941,0.535,35,0,hospital_126,1.466,S_166,1.897
3614,-37.81644058,144.8957977,5 Ducker Street,YARRAVILLE,8000000,house,2008,2,1,0,SC_043,3.94,19996,0.52,15,0,hospital_056,2.729,S_201,1.758
52768,-37.82481766,144.9978638,23a Dickmann Street,RICHMOND,8580000,house,2007,3,1,1,SC_038,1.977,19907,0.19,6,0,hospital_122,0.738,S_076,1.706
59053,-37.807539,145.18463899999998,58 Hedge End Road,NUNAWADING,5080000,house,2012,3,1,2,SC_088,1.385,19900,1.332,37,0,hospital_070,0.846,S_202,1.967
5873,-37.782946,144.85157,78 Darnley Street,BRAYBROOK,3330000,house,2009,2,1,1,SC_043,1.479,20021,1.758,26,0,hospital_174,1.775,S_149,1.479
43977,-37.698832,145.124429,1 Mahogany Court,GREENSBOROUGH,10800000,house,2015,3,2,2,SC_051,4.185,19985,1.535,41,0,hospital_075,1.779,S_051,1.849
53268,-37.828394,145.01157800000001,41 Parkville Street,BURNLEY,10530000,house,2011,3,2,1,SC_038,1.387,19906,0.366,16,0,hospital_122,1.166,S_102,1.363
16014,-37.709068,144.895827,24 Balerno Circle,GOWANBRAE,6384000,house,2016,3,2,1,SC_010,0.96,20032,1.95,33,0,hospital_184,3.788,S_198,2.024
91697,-37.98579025,145.0486908,5 Chateau Grove,BEAUMARIS,8000000,house,2009,3,1,1,SC_003,3.9,19865,1.51,50,0,hospital_055,0.711,S_011,1.294
54202,-37.817858,145.02926100000002,1A Linda Crescent,HAWTHORN,12000000,house,2014,3,3,3,SC_083,0.628,19905,0.713,18,0,hospital_086,0.22,S_208,0.593
12603,-37.6974628,144.76820590000003,2/21-29 Trickey Avenue,SYDENHAM,3288000,house,2013,2,1,1,SC_048,4.598,20000,0.666,39,0,hospital_057,8.114,S_094,0.889
18525,-37.66546249,144.92828369999998,24 TOORADIN AVENUE,DALLAS,3360000,house,2008,3,1,0,SC_072,1.722,44817,0.534,40,0,hospital_104,1.784,S_153,1.522
77142,-37.9454,145.10367,19 Hunt Crescent,CLARINDA,6000000,house,2011,4,2,1,SC_003,3.138,19915,2.741,39,0,hospital_076,3.02,S_170,2.309
14860,-37.74262,144.909817,9 Carnarvon Road,ESSENDON,12600000,house,2012,4,2,2,SC_082,1.031,20036,1.104,24,0,hospital_184,0.419,S_197,0.22
13010,-37.710332,144.776198,34 Hume Drive,SYDENHAM,4950000,house,2016,4,2,2,SC_107,3.334,20000,1.04,39,0,hospital_057,6.523,S_094,0.893
82836,-37.908865999999996,145.251074,6 Erskine Drive,ROWVILLE,4587000,house,2011,4,2,1,SC_049,5.272,19868,4.92,54,0,hospital_026,4.693,S_027,2.049
83451,-37.850289000000004,144.998467,12 Murray Street,PRAHRAN,9780000,house,2012,2,1,0,SC_066,0.544,19947,0.712,20,0,hospital_097,0.324,S_115,0.648
76861,-37.91087341,145.12672419999998,45 Marshall Avenue,CLAYTON,6300000,house,2008,4,2,1,SC_087,4.687,19915,1.63,39,0,hospital_065,0.944,S_169,1.822
83006,-37.88907242,145.2433929,114 Anne Road,KNOXFIELD,4888000,house,2008,4,2,3,SC_073,5.396,19868,4.629,54,0,hospital_002,4.329,S_027,1.454
96671,-38.018258,145.277656,25 Glencairn Ave,HALLAM,5430000,house,2015,3,2,0,SC_077,2.957,19885,0.693,57,0,hospital_069,2.781,S_212,1.836
9294,-37.855422999999995,144.71983899999998,13 Konrads Court,TRUGANINA,4354000,house,2012,3,1,1,SC_053,1.483,46468,2.91,32,0,hospital_073,4.295,S_007,2.427
43452,-37.709043,145.088294,11 Thompson Street,WATSONIA,5436000,house,2012,2,1,0,SC_017,5.484,19984,0.45,37,0,hospital_075,1.608,S_020,1.144
41835,-37.739539,145.077268,20 Rowell Street,ROSANNA,17600000,house,2016,5,2,2,SC_017,1.963,19936,1.048,31,0,hospital_066,2.217,S_100,2.319
34776,-37.72555923,145.00207519999998,36 Crawley Street,RESERVOIR,7420000,house,2009,2,1,1,SC_103,1.561,20011,0.322,28,0,hospital_139,0.957,S_085,1.29
27302,-37.588444,144.934708,57 Riversdale Street,CRAIGIEBURN,4335000,house,2016,3,2,2,SC_110,1.174,40221,1.671,46,0,hospital_104,7.043,S_178,0.622
56856,-37.855739,145.096798,7 Hydrangea Close,BURWOOD,10650000,house,2008,4,3,2,SC_042,2.449,19849,1.505,33,0,hospital_089,0.298,S_112,1.221
12005,-37.719304,144.77005,1 Oat Close,DELAHEY,4440000,house,2010,3,2,2,SC_048,2.937,20000,2.056,39,0,hospital_057,6.028,S_094,1.969
62195,-37.787676,145.25551299999998,66 Kalinda Road,RINGWOOD,5850000,house,2015,3,2,1,SC_022,2.737,19878,2.37,50,0,hospital_164,2.236,S_157,1.062
84915,-37.887234,144.98582199999998,37 Vautier Street,ELWOOD,21080000,house,2016,4,2,3,SC_015,2.113,19954,1.353,16,0,hospital_116,2.075,S_133,1.705
10842,-37.7983,144.928268,73 Ormond Street,KENSINGTON,10591000,house,2014,3,1,0,SC_011,2.068,20026,0.282,10,0,hospital_114,0.449,S_086,1.239
28772,-37.80231094,144.9987793,110 Yarra Street,ABBOTSFORD,2600000,house,2007,2,1,0,SC_068,2.724,19976,0.506,9,0,hospital_134,1.067,S_076,0.859
92822,-38.00538254,145.095398,17 Steedman Street,MORDIALLOC,9168000,house,2008,3,2,3,SC_003,3.853,19863,0.692,55,0,hospital_001,2.572,S_119,0.82
57589,-37.82973099,145.1542358,123 Blackburn Road,BLACKBURN,5350000,house,2008,4,2,2,SC_002,1.904,19898,1.138,31,0,hospital_060,0.394,S_018,0.636
83187,-37.884982,145.246121,4 Foster Crescent,KNOXFIELD,5780000,house,2011,4,2,2,SC_049,5.557,19869,4.331,52,0,hospital_002,3.815,S_027,1.953
4550,-37.841854100000006,144.8784332,56 Mason Street,NEWPORT,7837000,house,2008,3,1,0,SC_033,3.257,19994,0.464,20,0,hospital_141,2.561,S_056,2.903
55714,-37.842146,145.055,468 Burke Road,CAMBERWELL,5320000,house,2013,5,2,2,SC_099,2.0,19912,1.274,17,0,hospital_168,0.426,S_113,1.482
32327,-37.746678,144.99438899999998,22 Stott Street,PRESTON,7714000,house,2011,3,1,2,SC_103,1.033,20013,0.523,24,0,hospital_035,2.161,S_105,0.949
47521,-37.71771622,145.15623469999997,78 Henry Street,ELTHAM,8625000,house,2009,3,2,2,SC_051,4.913,19987,0.874,44,0,hospital_075,4.652,S_194,0.34
24438,-37.71258163,144.9751434,49 McBryde Street,FAWKNER,8160000,house,2009,3,1,1,SC_030,3.118,19962,1.305,33,0,hospital_139,2.093,S_030,2.034
13687,-37.744349,144.893183,103 Ogilvie Street,ESSENDON,13920000,house,2015,3,1,1,SC_082,1.588,20037,2.406,21,0,hospital_184,1.071,S_197,1.521
40444,-37.699695,145.06919,35 Windsor Crescent,BUNDOORA,7990000,house,2010,3,2,2,SC_047,5.516,19984,1.796,37,0,hospital_041,1.068,S_155,1.267
76613,-37.91561,145.11838400000002,17 Banksia Street,CLAYTON,7033000,house,2008,3,1,1,SC_087,4.428,19915,1.027,39,0,hospital_065,0.423,S_169,1.15
53505,-37.8118782,144.9949646,57 Garfield Street,RICHMOND,6360000,house,2007,2,1,0,SC_068,2.04,19977,0.272,7,0,hospital_042,0.49,S_076,0.259
94121,-38.07793808,145.12539669999998,17 Walkers Road,CARRUM,8320000,house,2009,3,1,2,SC_070,5.136,19858,0.428,66,0,hospital_043,7.977,S_077,2.756
91558,-37.976362,145.046422,32 Michael Street,BEAUMARIS,11440000,house,2012,4,2,2,SC_079,3.067,19866,1.296,47,0,hospital_055,0.638,S_011,1.519
81094,-37.98258972,145.2080994,29 Close Avenue,DANDENONG,6400000,house,2009,3,1,1,SC_112,0.79,19888,0.834,54,0,hospital_033,0.989,S_183,0.507
65405,-37.80555725,145.3201447,5 CHERYLNNE CRESCENT,KILSYTH,3080000,house,2008,3,2,2,SC_022,3.339,19877,2.414,54,0,hospital_164,5.683,S_224,0.942
71122,-37.863067,145.22055500000002,13a Benwerrin Drive,WANTIRNA,29750000,house,2016,3,1,1,SC_067,5.023,19871,4.406,45,0,hospital_008,1.61,S_227,0.421
19629,-37.669467,144.89586,2 Maxwell Court,ATTWOOD,5785000,house,2015,5,2,2,SC_059,2.297,20030,2.582,37,0,hospital_104,3.008,S_153,2.467
18506,-37.68252945,144.9317017,23 Waranga Crescent,BROADMEADOWS,2800000,house,2009,3,1,2,SC_072,3.634,20030,1.067,37,0,hospital_104,3.68,S_153,1.014
73134,-37.86814117,145.2926483,1a Shirley Court,BORONIA,7200000,house,2009,4,3,0,SC_049,3.229,19869,1.122,52,0,hospital_049,1.069,S_146,0.899
809,-37.796163,144.893813,3 Johnson Street,FOOTSCRAY,12160000,house,2011,3,1,2,SC_011,2.492,20024,0.735,18,0,hospital_003,0.601,S_201,0.63
87148,-37.916033,145.006373,823 Hampton Street,BRIGHTON,30400000,house,2010,4,2,2,SC_046,3.835,19951,0.89,21,0,hospital_156,1.385,S_009,0.937
86944,-37.9143015,144.99300280000003,6/11 Well Street,BRIGHTON,8400000,house,2011,2,2,2,SC_046,4.87,19951,0.304,21,0,hospital_156,0.309,S_150,0.126
709,-37.794849400000004,144.8933868,25 White Street,FOOTSCRAY,4680000,house,2009,3,1,2,SC_085,2.409,20024,0.869,18,0,hospital_003,0.475,S_201,0.772
30229,-37.774215999999996,145.00305500000002,57 Bastings Street,NORTHCOTE,26070000,house,2015,4,2,1,SC_001,3.48,19929,0.717,18,0,hospital_035,1.327,S_105,2.577
45774,-37.714940999999996,145.12899199999998,109 Mayona Road,MONTMORENCY,12800000,house,2010,4,2,2,SC_051,5.333,19986,0.66,40,0,hospital_075,2.311,S_194,2.554
68169,-37.848731,145.012632,644 Orrong Road,TOORAK,18540000,house,2010,3,3,2,SC_038,0.986,19946,0.254,22,0,hospital_132,0.684,S_115,0.652
29562,-37.771868,145.010004,17 Tanner Grove,NORTHCOTE,15400000,house,2014,3,2,2,SC_001,2.831,19929,0.829,18,0,hospital_035,1.015,S_105,2.382
24913,-37.602281,144.937609,1 Selby Place,CRAIGIEBURN,4760000,house,2010,3,2,1,SC_110,0.498,40221,0.506,46,0,hospital_104,5.599,S_005,0.518
53672,-37.82697678,144.9945526,7 Dunn Street,CREMORNE,8346000,house,2009,2,2,0,SC_038,1.934,19907,0.23,6,0,hospital_146,1.038,S_102,1.914
35926,-37.677602,145.038055,20 Regal Avenue,THOMASTOWN,4284000,house,2014,3,1,3,SC_062,5.08,20007,2.117,37,0,hospital_041,2.681,S_228,1.932
42323,-37.7443175,145.06986669999998,5 Grenhilda Road,ROSANNA,12461000,house,2013,3,1,2,SC_017,1.28,19936,0.365,31,0,hospital_066,1.41,S_100,1.657
52746,-37.819957,144.995125,22a Goodwood Street,RICHMOND,10080000,house,2011,2,1,0,SC_068,2.116,19908,0.633,13,0,hospital_146,0.308,S_076,1.153
1170,-37.80081,144.89260900000002,52 Victoria Street,FOOTSCRAY,6669000,house,2010,3,1,0,SC_043,2.849,20024,0.214,18,0,hospital_003,1.003,S_201,0.475
6390,-37.77851,144.820842,2/20 Gunnedah Street,ALBION,3618000,house,2013,3,3,1,SC_102,1.198,20004,0.353,28,0,hospital_174,1.032,S_080,1.133
2025,-37.78631592,144.8813477,22 Inkerman Street,MAIDSTONE,7632000,house,2009,2,1,2,SC_052,1.557,20023,1.76,20,0,hospital_056,0.87,S_049,1.617
75871,-37.906006,145.105061,2 Greville Street,HUNTINGDALE,12792000,house,2015,3,1,2,SC_087,2.843,19916,0.606,36,0,hospital_166,0.755,S_169,2.518
51977,-37.793828000000005,145.206655,66 Heads Road,DONVALE,18200000,house,2016,4,3,3,SC_032,2.87,19901,2.842,39,0,hospital_070,2.11,S_040,2.801
68349,-37.850703,145.01558,2 Clendon Road,ARMADALE,11500000,house,2012,3,2,1,SC_038,1.299,19946,0.147,22,0,hospital_132,0.701,S_115,0.954
36058,-37.682127,145.035145,8 Chapman Avenue,THOMASTOWN,3240000,house,2012,3,1,2,SC_062,5.584,20007,1.849,37,0,hospital_041,2.66,S_228,1.909
36233,-37.6637,145.033154,19 Mindoro Crescent,LALOR,4235000,house,2014,3,1,2,SC_062,4.803,20005,1.287,42,0,hospital_053,1.994,S_229,1.216
10851,-37.798259,144.92813700000002,75 Ormond Street,KENSINGTON,3078000,house,2011,3,2,0,SC_011,2.059,20026,0.274,10,0,hospital_114,0.45,S_086,1.234
87811,-37.944703000000004,145.006874,53 Bridge Street,HAMPTON,5880000,house,2013,4,2,2,SC_046,2.823,19948,0.658,28,0,hospital_036,0.375,S_088,0.934
3512,-37.818745,144.874078,41 Freeman Street,YARRAVILLE,8853000,house,2014,4,1,2,SC_033,2.559,19996,1.431,15,0,hospital_056,3.044,S_201,2.906
62923,-37.828947,145.25284299999998,4 Mont Court,HEATHMONT,2825000,house,2016,3,1,2,SC_032,2.777,19871,0.732,45,0,hospital_105,2.16,S_139,1.99
60733,-37.841658,145.196293,4 Lunar Crescent,VERMONT,6534000,house,2010,4,2,1,SC_088,2.888,19900,2.66,37,0,hospital_008,2.819,S_202,2.649
83851,-37.854654,145.004546,30 Banole Avenue,PRAHRAN,15720000,house,2015,3,1,1,SC_066,1.265,19946,0.929,22,0,hospital_132,0.386,S_115,0.738
19551,-37.674432,144.89109399999998,112 Kenny Street,ATTWOOD,9265000,house,2010,4,2,2,SC_059,1.627,20030,2.689,37,0,hospital_104,3.696,S_153,2.723
38019,-37.775344,145.018375,158 STATION STREET,FAIRFIELD,8070000,house,2012,2,1,0,SC_001,2.22,19930,0.445,20,0,hospital_029,1.644,S_219,2.201
81148,-37.98015213,145.19972230000002,30 BENGA AVE,DANDENONG,3014000,house,2009,3,1,1,SC_112,1.552,19889,0.743,51,0,hospital_033,1.514,S_183,1.277
52586,-37.831891,144.991621,192 Cubitt Street,CREMORNE,8840000,house,2010,3,1,0,SC_024,1.508,19959,0.733,17,0,hospital_196,0.787,S_102,1.738
32185,-37.739177000000005,145.02025700000002,2 Gordon Grove,PRESTON,14280000,house,2015,4,2,2,SC_047,0.889,20012,1.738,26,0,hospital_090,2.478,S_084,1.55
68534,-37.854017,145.016005,41 New Street,ARMADALE,14820000,house,2014,3,2,0,SC_038,1.645,19945,0.398,23,0,hospital_132,0.626,S_115,1.154
36703,-37.646141,145.052194,10 Halter Crescent,EPPING,5172000,house,2015,3,2,1,SC_062,3.0,45795,1.35,45,0,hospital_053,3.204,S_083,1.999
81177,-37.981149,145.20144299999998,32 Jones Road,DANDENONG,11808000,house,2011,3,1,0,SC_112,1.366,19889,0.922,51,0,hospital_033,1.405,S_183,1.106
57352,-37.82590866,145.0796661,52 Maling Road,CANTERBURY,13580000,house,2008,2,1,0,SC_099,1.91,19893,0.209,26,0,hospital_168,3.117,S_160,1.267
49909,-37.763616,145.086885,14 Helene Street,BULLEEN,10670000,house,2015,3,1,3,SC_009,0.497,19935,2.418,29,0,hospital_004,2.355,S_154,0.487
55396,-37.846812,145.08823700000002,26 Through Road,CAMBERWELL,16380000,house,2015,3,1,3,SC_042,3.411,19849,0.861,33,0,hospital_089,1.291,S_160,2.006
5088,-37.871656,144.820697,251 Esplanade,ALTONA,13300000,house,2014,2,1,0,SC_033,5.506,19926,0.933,30,0,hospital_141,6.312,S_128,0.913
14314,-37.744806,144.927371,338 Pascoe Vale Road,ESSENDON,6300000,house,2009,2,1,1,SC_082,2.266,20035,0.135,26,0,hospital_184,1.982,S_197,1.489
67818,-37.83766174,145.0108795,1/52 Bruce Street,TOORAK,24220000,house,2008,3,2,2,SC_038,0.398,19909,1.086,11,0,hospital_196,1.293,S_102,0.378
2608,-37.814118,144.863996,1 Stanger Street,YARRAVILLE,4896000,house,2012,2,1,2,SC_033,2.062,20022,1.658,22,0,hospital_056,3.045,S_149,2.288
7365,-37.750084,144.764708,28 Concord Circuit,ALBANVALE,7056000,house,2016,3,2,2,SC_048,2.793,20002,3.165,33,0,hospital_057,4.533,S_070,0.785
96150,-37.930376,145.03818,7 Lockwood Street,BENTLEIGH,20960000,house,2015,3,2,1,SC_046,1.016,19937,0.46,42,0,hospital_110,0.322,S_107,1.256
50260,-37.773759000000005,145.090403,48 Cuthbert Street,BULLEEN,9480000,house,2010,3,2,0,SC_009,0.912,19935,3.208,29,0,hospital_194,2.184,S_154,0.814
57256,-37.819389,145.076795,33 Hopetoun Avenue,CANTERBURY,28600000,house,2012,5,3,3,SC_099,1.739,19893,0.688,26,0,hospital_064,2.774,S_160,1.811
58384,-37.830566,145.15167,9 Ronley Street,BLACKBURN,6880000,house,2010,3,1,1,SC_002,2.141,19898,1.177,31,0,hospital_060,0.47,S_018,0.394
28747,-37.80234528,144.99655149999998,1/79 Yarra Street,ABBOTSFORD,3424000,house,2008,2,1,1,SC_068,2.554,19976,0.346,9,0,hospital_134,1.163,S_076,0.812
57456,-37.811977,145.140736,1 Dixon Grove,BLACKBURN,7200000,house,2016,3,2,1,SC_037,1.792,19897,0.98,30,0,hospital_154,1.856,S_147,1.85
50928,-37.784958,145.14117199999998,19  Nathan Street,DONCASTER,9630000,house,2016,4,2,2,SC_091,1.356,19898,3.985,31,0,hospital_194,2.625,S_188,1.528
24048,-37.699683,144.971354,16 Preston Street,FAWKNER,6256000,house,2010,3,1,1,SC_030,4.094,19961,1.105,35,0,hospital_139,3.081,S_161,1.614
94478,-37.91607285,145.0489655,1 Osborne Avenue,BENTLEIGH,12320000,house,2008,4,2,2,SC_046,2.77,19939,1.062,38,0,hospital_159,1.718,S_107,0.715
16698,-37.704640999999995,144.929999,19 Leonard Avenue,GLENROY,5175000,house,2010,3,2,1,SC_030,3.563,20032,1.125,33,0,hospital_184,4.732,S_209,0.55
31420,-37.762545,145.001319,7 Armadale Street,THORNBURY,9750000,house,2011,3,1,0,SC_103,2.557,20015,0.413,20,0,hospital_035,0.576,S_105,1.293
93222,-38.017520000000005,145.100494,32 Gale Street,ASPENDALE,7650000,house,2012,3,1,1,SC_003,5.26,19862,1.09,58,0,hospital_001,3.854,S_119,1.605
43709,-37.71242142,145.0914307,30 Orana Drive,WATSONIA,5950000,house,2009,3,1,1,SC_017,5.229,19984,0.692,37,0,hospital_075,1.508,S_020,1.148
32912,-37.742778,145.015736,50 O'Keefe Street,PRESTON,13090000,house,2014,3,1,2,SC_103,1.265,20013,1.406,24,0,hospital_035,2.346,S_084,1.297
24993,-37.572590000000005,144.918777,10 Fletcher Road,CRAIGIEBURN,3880000,house,2015,4,2,2,SC_005,0.266,40221,3.908,46,0,hospital_104,8.696,S_178,2.736
36326,-37.671721999999995,145.039682,24 Winston Street,LALOR,4605000,house,2012,3,1,1,SC_062,4.613,20006,2.087,39,0,hospital_041,3.005,S_229,1.812
57668,-37.819209,145.150365,15 Station Street,BLACKBURN,19050000,house,2014,3,1,3,SC_002,1.856,19898,0.101,31,0,hospital_060,1.611,S_018,1.385
